Event Title	Name of Company	City or Town of Origin	State of Origin	Country of Origin	Venue	Genre	Categories	Show Rating	Running Time	Audience Interaction	Nudity	Foul Language	Strobe Effects	Ticket Price	Short Blurb (175 Characters)	Long Blurb (450 Characters)	Facebook	Instagram	Twitter	Website	Your 2019 Orlando Fringe Schedule	Discount Tickets	One Time $6 Show Ticket	Event Input	Performances Input	Event Number	Event Landing
Foxy's Den	Feeling Foxy	Orlando	FL	UNITED STATES	BYOV -Black Venue	Dance	Comedy,Interactive,Dance,Burlesque,Drag	18 and up	45	YES	YES	YES	yes	12	The party is starting, all that's missing is you! Singing, dancing, and a whole lot of skin. A fully choreographed burlesque production featuring some of Orlando's finest.	The party is starting, all that's missing is you! Singing, dancing, and a whole lot of skin. A fully choreographed burlesque production created by Elaine Hoxie, aka Foxy, featuring some of Orlando's finest talent. There's something for everyone at Foxy's Den and you never know, you may just end up a part of the show too!	foxysdenparty	elhoxie		www.elainelaniehoxie.com/foxysden	Friday, May 17th 10:30PM Saturday, May 25th 10:30PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee		Tempestt 3/12		395	http://orlandofringe.showare.com/eventperformances.asp?evt=395
Fringe Family Feud	Jester Theater Company / Team H Productions	Orlando	FL	UNITED STATES	Gold	Comedy	Comedy,Family Friendly,Interactive,Quiz Show,Award Winning Production Company	13 and up	60	YES	NO	NO	no	10	3rd times a charm! The '17 & '18 Patron's Pick & Critics Choice Award for Best Technical Achievement. NEW questions, NEW families NEW audience prizes! Come play, laugh, & WIN!	3rd times a charm! The '17 & '18 Patron's Pick & Critics Choice Award for Best Technical Achievement. NEW questions, NEW families NEW prizes! This year we've got 7 shows for you to come win some great goodies, meet some amazing talent, and have a whole lot of laughs along the way. And for 1 night only, we've got special guest host MICHAEL WANZIE! Mimes vs Monologists! Comedians vs Canadians! You vs Who?! Hosted by Fringe favorite Jay Hopkins.	https://m.facebook.com/jayanddianahopkins/	jay_hop_kins	TeamHShows		Wednesday, May 15th 8:00 PM Friday, May 17th 5:45 PM Sunday, May 19th 7:15 PM Monday, May 20th 6:00 PM Thursday, May 23rd 10:15 PM Saturday, May 25th 3:30 PM Sunday, May 26th 9:00 PM	None		Tempestt 3/12		59	http://orlandofringe.showare.com/eventperformances.asp?evt=59
From Here	Donald Rupe Productions	Orlando	FL	UNITED STATES	Orange	Musical	LGBT,Comedy,Theatre,Award Winning Production Company	18 and up	60	NO	NO	YES	no	12	From the writer of past Fringe hits Gorgeous! (2018), Bitch Perfect (2016), and Once I Laughed (2015) comes a new original musical about life, love, and everything in between.	Writer/Director Donald Rupe (Gorgeous-2018, Bitch Perfect-2016, Once I Laughed-2015) returns to Fringe with a new musical about Daniel, an Orlando native who is just trying his best to balance love, his difficult mother, and all the things life throws at him and his tight knit group of friends. Quirky humor, original music written by Rupe and Jason Bailey, a predictable gay love story and an all-star cast make this a show you won't want to miss!					Wednesday, May 15th 9:00 PM Saturday, May 18th 2:15 PM Sunday, May 19th 8:45 PM Tuesday, May 21st 10:30 PM Saturday, May 25th 8:15 PM Sunday, May 26th 6:45 PM			Tempestt 3/12		396	http://orlandofringe.showare.com/eventperformances.asp?evt=396
From One Foot To The Other	CoCo Loupe Dances	Lake Mary	FL	UNITED STATES	Pink	Dance	World Premiere Experimental,Dance,Physical Theatre	7 and up	60	YES	NO	YES	NO	12	From One Foot to the Other is an evening of controlled falling. Like walking but more like traipsing. Like running while swaying or like dancing while being interviewed. Go.	From One Foot to the Other invites us to indulge in physical concepts such as This and That, Steps for the Ages, The Politics of Dancing, Shaking It Up and Time Sounding. The process of meaning-making at a distance via virtual platforms comes together in choreographed and improvisational modules. It's not linear. It's not logical. It's a notion. And it's located in the shifts between places of balance. Also, lip syncing.	fofttofringe	fromonefoottotheother	fofttofringe	http://fofttofringe.cocoloupedance.com	Tuesday, May 21st 6:00 PM Thursday, May 23rd 5:30 PM Saturday, May 25th 1:30 PM Sunday, May 26th 11:15 AM			Tempestt 3/12		397	http://orlandofringe.showare.com/eventperformances.asp?evt=397
Fury in Sound	Scott Browning & Nathan Felix	Orlando	FL	UNITED STATES	Angel Statue at Loch Haven Park Entrance	Musical	Theatre,Interactive,Sight Specific,Immersive Improvised,Physical Theatre	18 and up	30	YES	NO	NO	No	10	A group of friends wander to the outskirts of the Festival to communicate with the dead. A musical experience on headphones that brings the other side into your head.	A group of friends wander to the outskirts of the Festival to communicate with the dead. Some guests are expected, others were never invited. A musical experience on headphones that brings the other side into your head.					Thursday, May 16th - 9pm  Friday, May 17th- 10pm  Saturday, May 18th - 10pm  Sunday, May 19th- 9pm Wednesday, May 22nd 9pm Thursday, May 23rd 10pm  Friday, May 24th 10pm  Saturday, May 25th 10pm  Sunday, May 26th 10:30pm			Tempestt 3/12		398	http://orlandofringe.showare.com/eventperformances.asp?evt=398
Geography and Plays	miR theater	Rockledge	FL	UNITED STATES	Brown	Theatre	LGBT,Theatre,World Premiere Experimental,Feminist,Debut	13 and up	60	NO	NO	NO	No	12	"She did not find it gay living in the same place where she had always been living. She went to a place where some were cultivating something... " - Gertrude Stein	Geography and Plays' is a new assemblage of plays and portraits by the mother of modernist literature, Gertrude Stein. It is a theatrical abstraction about the will to reconfigure what's lived into something new and true. "She did not find it gay living in the same place where she had always been living. She went to a place where some were cultivating something, voices and other things needing cultivating." (from 'Miss Furr and Miss Skeene')	geographyandplays	geographyandplays			Saturday, May 18th 1:30 PM Monday, May 20th 8:00 PM Thursday, May 23rd 5:30 PM Saturday, May 25th 4:45 PM			Tempestt 3/12		399	http://orlandofringe.showare.com/eventperformances.asp?evt=399
girl.	Beth Marshall Presents	Orlando	FL	UNITED STATES	Gold	Theatre	Storytelling, Theatre, Feminist, Drama, Award Winning Production Company	13 and up	75	NO	NO	YES	NO	12	From Multiple-award-winning producer/director Beth Marshall comes 3 stories about being a girl in today's world and what it means to be 'home'.	Multiple-award-winning producer, Beth Marshall is once again daring to bring a DRAMA to Fringe! Through three intimate stories, girl. creates a compelling account of the female adolescent experience and what it means to be 'home'.  Written by: Megan Mostyn-Brown  Directed by: Beth Marshall Stage Managers: Blue Estrella, Gabriel Neil-Barnert  Cast: Rachel Comeau Alexa Carroll Chloe Shaw Sierra Vennes Matthew Gray	https://www.facebook.com/BethMarshallPresents/			BethMarshallPresents.com	Thursday, May 16th 6:45PM Saturday, May 18th 1:00PM Sunday, May 19th 5:00PM Tuesday, May 21st 8:15PM Wednesday, May 22nd 7:00PM Friday, May 24th 6:30PM Sunday, May 26th 7:00PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Tuesday, May 21st 8:15PM	Becki 4/12	Becki 4/12	477	http://orlandofringe.showare.com/eventperformances.asp?evt=477
God is a Scottish Drag Queen VI	Possible Productions	Victoria	British Columbia	CANADA	Yellow	Comedy	Stand Up,Comedy,Theatre,One Person Show,Award Winning Production Company	13 and up	60	NO	NO	YES	No	12	Orlando's favorite Deity in a power suit is back! God comes down to skewer everything from white privilege to gay rights in an all new and hilarious hour of comedy!	From 20 time "Best of the Fest" award winning comedian Mike Delamont comes the next chapter in the international fringe's most popular franchise! God, in a floral power suit, comes down to skewer everything from white privilege to gay rights in an all new and hilarious hour of comedy that you won't ever forget!	mikedelamont	@themikedelamont	@mikedelamont	www.mikedelamont.com	Wednesday, May 15th 9:45 PM Friday, May 17th 9:00 PM Saturday, May 18th 1:45 PM Sunday, May 19th 10:00 PM Monday, May 20th 6:15 PM Tuesday, May 21st 10:15 PM			Tempestt 3/12		400	http://orlandofringe.showare.com/eventperformances.asp?evt=400
Goodbye	JMJ Productions	Orlando	FL	UNITED STATES	Green	Theatre	LGBT,Comedy,Theatre,Drama,Award Winning Production Company	13 and up	60	YES	NO	YES	No	12	From the creative team behind last year's "HELLO". A new play, based on a true story, by John Mark Jernigan. "If you think you know, you don't, and that's precisely the point.	From the creative team behind last year's "HELLO". A new play, based on a true story, written by John Mark Jernigan. “If you think you know, you don't, and that's precisely the point." Directed by Chris Crawford with music by Anthony R. Smith. Starring T. Robert Pigott, Meghan Colleen Moroney, Lauren Culver, Jeffrey Correia, Brian Brammer and John Mark Jernigan.	FB.ME/INTREPIDSTAGE	@INTREPID_Stage			Thursday, May 16th 7:45 PM Saturday, May 18th 3:30 PM Monday, May 20th 7:15 PM Wednesday, May 22nd 5:30 PM Thursday, May 23rd 10:00 PM Saturday, May 25th 3:30 PM Sunday, May 26th 1:00 PM	Fringe Volunteer		Tempestt 3/12		401	http://orlandofringe.showare.com/eventperformances.asp?evt=401
Great & Powerful Tim: Clue Dunnit?	The Great & Powerful Tim	Los Angeles	CA	UNITED STATES	Purple	Magic	Comedy,One Person Show,Interactive,Immersive Improvised,Award Winning Production Company	7 and up	60	YES	NO	NO	No	12	Murder, mystery, and magic await in this all-new interactive comedy show! When a world famous magician ends up murdered, it's up to his bumbling butler to solve the crime...	Murder, mystery, and magic await in this all-new interactive comedy show! The year is 1926. You and a group of esteemed guests have been invited to witness the newest illusions of a world-renowned magician in a haunted theater. But when the magician ends up murdered, it's up to his bumbling butler to solve the crime before the suspect gets away! Tim is an award-winning international touring magician based in Los Angeles. www.TimTheWebsite.com	GreatAndPowerfulTim	greatandpowerfultim	Gr8PowerfulTim	www.timthewebsite.com	Wednesday, May 15th 7:00 PM Saturday, May 18th 3:00 PM Sunday, May 19th 1:30 PM Wednesday, May 22nd 7:45 PM Thursday, May 23rd 6:00 PM Saturday, May 25th 4:00 PM Sunday, May 26th 12:00 PM	None		Tempestt 3/12		402	http://orlandofringe.showare.com/eventperformances.asp?evt=402
The Hammered Dog	Freeline Productions	Orlando	FL	UNITED STATES	Red	Play	LGBT,Theatre,Controversial,Thriller,Black Comedy	13 and up	55	NO	NO	NO	None	11	Shy and emotionally fragile Sandra meets the handsome, possessive Ted, at a nightclub where a chance encounter leads to a relationship beyond her wildest dreams or nightmares.	Starring Fringe favorites Sarah Lockard, Steven Johnson and Todd Allen-Long! From the creative team of 2016 Purple Patrons Pick Murder Sleep. Shy, insecure and emotionally fragile Sandra meets the handsome, sexually possessive Ted at a nightclub where a chance interaction quickly leads to an intense, volatile relationship. Under the strain of her obscure past and Ted’s emotional manipulation, her life takes a fateful turn. Some wounds never heal.	@freelinemedia	mikefreeman77	@Freelineorlando	https://freelinemediaorlando.com/	Friday, May 17th 10:45 PM Sunday, May 19th 5:30 PM Monday, May 20th 9:30 PM Saturday, May 25th 4:30 PM Sunday, May 26th 9:15 PM	Fringe Artist,Fringe Volunteer		Tempestt 3/12		403	http://orlandofringe.showare.com/eventperformances.asp?evt=403
The Happiest Place on Earth	The Impulse Project	Winter Garden	FL	UNITED STATES	Green	Play	LGBT,Theatre,One Person Show,Drama,Debut	7 and up	85	NO	NO	NO	Yes (we can notate which scene/time this is)	12	Years after a special trip to Disneyland, Philip must retrace the journey of the women in his family to find out if the dreams they wished for really did come true.	Left reeling from the loss of their patriarch, a family ventures on a quest for solace to a magical kingdom in a California orange grove. More than fifty years later, Philip must now retrace the journey of the women in his family to find if the dreams they wished for really did come true. The Impulse Project proudly presents the heartfelt story from acclaimed playwright Philip Dawkins, performed by Adam Reed.	theimpulseproject	theimpulseproject		theimpulseproject.org	Wednesday, May 15th 10:15 PM Saturday, May 18th 11:45 AM Sunday, May 19th 7:45 PM Thursday, May 23rd 5:45 PM Sunday, May 26th 10:15 PM	Theme Park Employee	YES to first show 5/15 at 10:15PM	Tempestt 3/12		404	http://orlandofringe.showare.com/eventperformances.asp?evt=404
HOMBRE	Ana Cuellar	Orlando	FL	UNITED STATES	Silver	Dance	Dance	All Ages	60	NO	NO	NO	no	11	Join Ana Cuellar, winner of last year's Patron's Pick (pink) at Orlando Fringe, in her new contemporary dance show, "Hombre". Come see how LOVE is the key to save humanity!	Join Creator/Choreographer Ana Cuellar, winner of last year's Patron's Pick at Orlando Fringe/pink venue, in her show, "HOMBRE". Featuring a contemporary dance production with professional artists accompanied by original music and singing by a Latin Grammy member. Come see what connects us all as humans: "Love". Spread it all around. Together let's celebrate life with "HOMBRE" and see how "Love" becomes the key to save our humanity!	https://www.facebook.com/HOMBREbyAnaCuellar/?modal=admin_todo_tour				Saturday, May 18th 1:00 PM Sunday, May 19th 2:00 PM Tuesday, May 21st 8:00 PM Wednesday, May 22nd 6:30 PM Thursday, May 23rd 6:30 PM Friday, May 24th 5:15 PM Saturday, May 25th 3:15 PM	Fringe Volunteer		Tempestt 3/12		405	http://orlandofringe.showare.com/eventperformances.asp?evt=405
Horseface	Alex Dallas Prods.	Toronto	Ontario	CANADA	Red	Comedy	Storytelling,Comedy,Political,One Person Show,Feminist	13 and up	50	YES	NO	YES	No	12	Horseface, from Alex Dallas is about growing up female in a man's world.  A must see exploration of her response to the Me Too movement. If your dad had a porn collection and you  ever kicked a man in the balls this show's for you!	Meet Alex, a 61 year old woman who is charged with assaulting a man on a train. An older, mostly invisible and very British lady who is pushed to the limits when an innocuous encounter goes horribly wrong. Her experience of growing up as a good girl in the 1970's , her father's penchant for pornography, her years of being a great girlfriend to penniless musicians, and her rejection of Jane Fonda's sex advice all culminate in an explosive act. Come along for the ride and judge for yourself as to whether her defence is legitimate in an era of Twitter insults and  the Me Too Movement.					Thursday, May 16th          9:00 PM  Saturday, May 18th           6:00 PM Sunday, May 19th           10:00 PM  Tuesday, May 21st            9:00 PM  Wednesday, May 22nd    10:00 PM  Saturday, May 25th           9:30 PM  Sunday, May 26th             1:30 PM			Tempestt 3/12		406	http://orlandofringe.showare.com/eventperformances.asp?evt=406
How to Eat a Bear	Crafty McVillain	Orlando	FL	UNITED STATES	Brown	Comedy	Comedy,World Premiere Experimental,Black Comedy,Debut,First Time Writer New Company	13 and up	70	NO	NO	NO		10	Two moronic best friends bite off more than they can chew when they get an insatiable craving for bear meat in this weird, darkish comedy.	Best friends Dave and Mark decide that they will stop at nothing to satisfy their inexplicable craving for bear meat and find out the hard way that their quest will lead them down every path except victory.	howtoeatabear				Wednesday, May 15th        10:30 PM Sunday, May 19th        9:45 PM Tuesday, May 21st        10:00 PM Saturday, May 25th        10:30 PM Sunday, May 26th        8:45 PM	Fringe Artist,Fringe Volunteer	Wednesday May 15th 10:30pm	Tempestt 3/12		407	http://orlandofringe.showare.com/eventperformances.asp?evt=407
How to live with yourself (When you should have killed your mother)	Scott Launier Productions	Orlando	FL	UNITED STATES	Blue	Theatre	Storytelling,Theatre,One Person Show,Controversial,First Time Writer New Company	18 and up	50	NO	YES	YES	No strobe effects.	10	Join Caramel Del Mar for an evening of storytelling, gripping confessions, and romping ruminations of love, loss & loneliness.	Freshly out and wanting some fun before going back in, Caramel Del Mar wants to spend the night with you for a candid evening of storytelling, gripping confessions, and romping ruminations of love, loss & loneliness. Vulnerable and exposed, Caramel confronts grief and ghosts in an effort to feel OK again.	How-To-Live-with-Yourself-When-You-Should-Have-Killed-Your-Mother-287628561904543/?modal=admin_todo_tour		HowToLiveWith1		Wednesday, May 15th        10:15 PM Saturday, May 18th        2:00 PM Monday, May 20th        6:00 PM Tuesday, May 21st        8:30 PM Friday, May 24th        9:45 PM Saturday, May 25th        3:45 PM Sunday, May 26th        10:00 PM			Tempestt 3/12		408	http://orlandofringe.showare.com/eventperformances.asp?evt=408
Hypnotic Hyjinx: A Comedy Hypnosis Show	Hypnotic Entertainment	Tampa	FL	UNITED STATES	Yellow	Comedy	Comedy,Interactive,Immersive Improvised	13 and up	75	YES	NO	YES	no	12	Allow your mind to laugh through hypnosis. If you're one of the lucky few you can enjoy the show from the stage or you can enjoy it from the audience.	Allow your mind to laugh at this event. Spencer Hojdila and Daniel Cyral work together to bring YOU, up on stage and give YOU the opportunity to be the star of the show. If you've ever wanted to see the wonders of hypnosis right before your very eyes, NOW is YOUR chance to experience the pure bliss of relaxation through laughter. The opportunity of a lifetime is presented to you, and all you have to do is claim it.	danielcyral	yourhypnoticentertainment		https://hypnotic-entertainment.com/	Thursday, May 16th        9:00 PM Sunday, May 19th        6:15 PM Thursday, May 23rd        10:45 PM Saturday, May 25th        1:30 PM Sunday, May 26th        5:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee		Tempestt 3/12		409	http://orlandofringe.showare.com/eventperformances.asp?evt=409
I Am Woman: A Musical Journey of the Evolution of Female Empowerment!	Breakthrough Theatre of Winter Park	Winter Park	FL	UNITED STATES	BYOV - Breakthrough Theatre of Winter Park	Musical	Dance,Feminist	All Ages	60	NO	NO	NO	no	12	"I Am Woman" is a musical revue, with music, dance, and spoken word, showing the evolution of the women's movement and the fight for equality.	"I Am Woman" is a musical revue showing the evolution of the women's movement and the fight for equality. Featuring a cast of sixteen, I Am Woman features music, dance, and spoken word. History has never been so fun!				www.breakthroughtheatre.com	Friday, May 17th        11:35 PM Saturday, May 18th        10:00 PM Sunday, May 19th        6:10 PM Wednesday, May 22nd        10:00 PM Thursday, May 23rd        8:25 PM Friday, May 24th        10:00 PM Saturday, May 25th        8:25 PM Sunday, May 26th        4:35 PM			Tempestt 3/12		410	http://orlandofringe.showare.com/eventperformances.asp?evt=410
I'm Coming	Molly Brenner	Brooklyn	NY	UNITED STATES	BYOV - Black Venue	Comedy	Storytelling,Comedy,Theatre,One Person Show,Feminist	18 and up	50	NO	NO	YES	No	12	Comedian Molly Brenner finally had an orgasm. How did it happen? I'm Coming chronicles Molly's long, infuriating, hilarious and ultimately empowering journey to the Big O.	Comedian Molly Brenner finally had an orgasm. How did it happen? The answers may surprise you! I'm Coming chronicles Molly's long, infuriating, hilarious and ultimately empowering journey to the Big O. An intimate, honest, sex-positive take on female pleasure, I'm Coming is directed by Joanna Simmons (Upright Citizens Brigade). It has been performed for sold-out crowds around NYC and beyond and will be at the Edinburgh Fringe Festival in 2019.	mollybrennercomedy	@molly_brenner	MollyGreenGiant	https://www.mollybrennercomedy.com/molly-brenner-is-not-coming/	Thursday, May 16th        10:30 PM Saturday, May 18th        1:30 PM Tuesday, May 21st        6:00 PM Friday, May 24th        11:59 PM Sunday, May 26th        9:00 PM			Tempestt 3/12		411	http://orlandofringe.showare.com/eventperformances.asp?evt=411
The Immaculate Big Bang	Bill Santiago	New York	NY	UNITED STATES	Purple	Comedy	Stand Up,Storytelling,Comedy,Theatre,One Person Show	18 and up	60	NO	NO	NO	NO	12	Sparked by the death of his father and birth of his daughter, Comedy Central Comedian Bill Santiago goes in search of answers and laughs at the border of science and religion.	Sparked by the death of his father and birth of his daughter, Comedy Central Comedian Bill Santiago goes in search of answers and laughs at the border of science and religion, exploring the comic nature of the cosmic quest for understanding existence, life, death and the number 33 (not necessarily in that order). Yeah, it's ambitious. And, wait for it... hilarious.	https://www.facebook.com/billsantiago.comedian	https://www.instagram.com/billsantiago/	https://twitter.com/billsantiago	http://www.billsantiago.com/	Friday, May 17th        7:15 PM Sunday, May 19th        4:30 PM Monday, May 20th        6:15 PM Wednesday, May 22nd        10:45 PM Thursday, May 23rd        9:00 PM Saturday, May 25th        6:00 PM Sunday, May 26th        8:00 PM			Tempestt 3/12		412	http://orlandofringe.showare.com/eventperformances.asp?evt=412
INFESTATION	Stimulating Productions	Orlando	FL	UNITED STATES	Pink	Play	Comedy,Thriller,Parody,Debut,First Time Writer New Company	18 and up	60	NO	NO	YES		12	From the blackness of space, evil descends on John Agar High School. In this 1950's Sci-Fi parody, will Mary Sue and her friends be able to defeat the aliens by Prom Night?	From the Darkest Reaches of the Universe, an intergalactic evil descends upon a small Midwestern high school. As teachers and students begin to disappear, will Mary Sue and her friends be able to defeat this alien menace in time for the Prom?					Wednesday, May 15th 10:45 PM Saturday, May 18th 9:00 PM Sunday, May 19th 12:00 PM Monday, May 20th 7:15 PM Wednesday, May 22nd 5:30 PM Thursday, May 23rd 11:00 PM Sunday, May 26th 7:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	5/15/2019 22:45	Tempestt 3/12		413	http://orlandofringe.showare.com/eventperformances.asp?evt=413
Ingenue: Deanna Durbin, Judy Garland and the Golden Age of Hollywood	Melanie Gall Presents	New York	NY	UNITED STATES	Blue	Music	LGBT,Edinburgh Preview Play,Play With Songs,Feminist,Award Winning Production Company	7 and up	60	NO	NO	NO	No strobe effects	12	Ingenue tells the true tale of the lifelong friendship -and rivalry- of two great stars of Old Hollywood. "An unforgettable delight" CBC; "Gall is Astonishing!"- DC MetroArts	Judy is an icon, loved as Dorothy in Wizard of Oz. But in the 1930s, Deanna was a far greater star. A favorite of Roosevelt, Churchill, even Mussolini, her first kiss made front page news in the New York Times. At 27, she abandoned fame for a life of obscurity in France. Ingenue tells the true tale of the lifelong friendship � and rivalry � of these two great stars of Old Hollywood. �An unforgettable delight� CBC; �Gall is Astonishing!� MetroArts	MelanieGPresents	melaniepresents	melaniepresents	melaniegall.com	Friday, May 17th 7:30 PM Saturday, May 18th 7:00 PM Sunday, May 19th 1:00 PM Tuesday, May 21st 7:00 PM Wednesday, May 22nd 7:30 PM Saturday, May 25th 5:45 PM Sunday, May 26th 2:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military	Friday, May 17th 7:30 PM	Tempestt 3/12		414	http://orlandofringe.showare.com/eventperformances.asp?evt=414
INK	Alastair Knowles	Vancouver	British Columbia	CANADA	Silver	Physical Theatre	Comedy,Theatre,World Premiere Experimental,Physical Theatre,Award Winning Production Company	All Ages	60	NO	NO	NO	Yes. (probably)	12	10,000 square feet of paper. One pen. A sketch comes to life, searching for depth in a 2-dimensional world. By Alastair Knowles of 20x Best of Fest winners JAMES & JAMESY.	10,000 square feet of paper. One pen. Canadian Comedy Award winner Alastair Knowles, of 20x Best of Fest JAMES & JAMESY, bids a visually stunning adieu to the era of putting pen to paper.  A sketch comes to life and struggles to find depth in a 2-dimensional world. Where do you draw the line?  Knowles has a "pitch-perfect ability to express his character's bittersweet search for human connection through movement."-Toronto Star.	AlastairKnowlesPerformance	alastairknowles	jamesandjamesy	jamesandjamesy.com/ink	Thursday, May 16th 7:45 PM Saturday, May 18th 2:45 PM Sunday, May 19th 10:00 PM Monday, May 20th 10:15 PM Friday, May 24th 10:30 PM Sunday, May 26th 3:45 PM			Tempestt 3/12		415	http://orlandofringe.showare.com/eventperformances.asp?evt=415
Johnny Belinda	University High School Thespian Troupe 4848	Orlando	FL	UNITED STATES	Pink	Theatre	Storytelling,Theatre,Drama,Award Winning Production Company,Amateur	13 and up	50	NO	NO	NO	no	5	This is a touching tale of Belinda, a young deaf-mute woman who learns to communicate and trust the world around her only to then have to fight to save those she loves.	Johnny Belinda: a touching tale of Belinda, a young deaf-mute woman who becomes close to the new local doctor, and together their relationship flourishes through him teaching her how to communicate through sign language, and through his drive for others to acknowledge Belinda as a strong and capable woman despite her deafness. When tragedy ensues, Belinda uses her courage to protect those she loves. This is a beautiful and inspiring story.	www.facebook.com/universityhighschooltheatre	www.instagram.com/universityhightheatre			Sunday, May 19th 1:45 PM Friday, May 24th 7:15 PM			Tempestt 3/12		416	http://orlandofringe.showare.com/eventperformances.asp?evt=416
Juicebox Heroes: Stories of Stay at Home Dads	Kevin Burke	Indianapolis	IN	UNITED STATES	Purple	Comedy	Comedy,Theatre,One Person Show,Interactive,Debut	13 and up	55	YES	NO	NO	none	12	JUICE BOX HEROES is a hilarious celebration of stay-at-home-dads, with Kevin Burke the star of Broadway's DEFENDING THE CAVEMAN. In parenting, nothing ever goes as planned...	JUICE BOX HEROES is a hilarious celebration of stay-at-home-dads, with Kevin Burke the star of Broadway's DEFENDING THE CAVEMAN. In the late 1990's Kevin led the modern movement of Dads as primary caregivers. "Kevin is a comic champion for all men who send their wives off to work, then start the laundry. It's obvious his kids are his heart." IndyFringe Review. "The show careens from thoughtful to hilarious to heartfelt. I'll see again." R Clark					Friday, May 17th 5:45 PM Saturday, May 18th 1:30 PM Monday, May 20th 7:45 PM Wednesday, May 22nd 6:15 PM Thursday, May 23rd 7:30 PM Friday, May 24th 6:00 PM Saturday, May 25th 12:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Friday, May 17th 5:45pm	Tempestt 3/12		417	http://orlandofringe.showare.com/eventperformances.asp?evt=417
JunNk	Penguin Entertainment	Orlando	FL	UNITED STATES	Gold	Musical	Comedy,Family Friendly,Interactive,Play With Songs	All Ages	50	YES	NO	NO	Possibly, not sure.	12	JunNk- wacky 4pc show transforms household objects/junkyard trash into a non-stop musical mashup for all ages! Comedy, tumbling and more! You'll scream, "I want more JunNk!"	JunNk- This wacky 4pc show transforms household objects/junkyard trash into a non-stop musical mashup for all ages! Expert comedic delivery, hot vocals, tumbling and more! JunNk lures you into their zany world ft. classic twists on songs from many iconic artists. Well established for 10 years in Europe, Asia & the Middle East in theatres, festivals and on cruise ships, JunNk Fans say JunNk is "... the manic love child of Blue Man Group and Stomp!"	JunNk.Ltd	junnkofficial	JunNkofficial	https://www.junnk.co.uk/	Wednesday, May 15th        6:15 PM Friday, May 17th        7:30 PM Saturday, May 18th        4:45 PM Sunday, May 19th        1:30 PM Wednesday, May 22nd        9:00 PM Saturday, May 25th        7:15 PM Sunday, May 26th        1:30 PM			Tempestt 3/12		419	http://orlandofringe.showare.com/eventperformances.asp?evt=419
Just A Dog, Right?	Tricky Pig Productions	Sarasota	FL	UNITED STATES	Red	New Writing	Storytelling,Family Friendly,One Person Show,Debut,First Time Writer New Company	7 and up	45	NO	NO	NO	no	10	Tricky Pig Productions presents "Just a Dog, Right?" a beautiful and heart-touching one-woman revue that explores humankind's history with dogs, our greatest companions.	Tricky Pig Productions presents "Just a Dog, Right?" a beautiful and touching one-woman revue that explores humankind's history with our greatest companions and asks the question, "do we do as much for our furry friends as they do for us?"From hunting assistance at the dawn of humanity to the viral videos of farting pugs, dogs have been our closest allies and friends for a millennia. But why do we love them? After all - it's just a dog, right?	https://www.facebook.com/justadogright/	n/a	n/a		Wednesday, May 15th 7:15 PM Saturday, May 18th 4:00 PM Sunday, May 19th 12:45 PM Tuesday, May 21st 6:15 PM Thursday, May 23rd 7:45 PM Friday, May 24th 9:30 PM Sunday, May 26th 5:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Wednesday May 15 7:15 p.m.	Tempestt 3/12		421	http://orlandofringe.showare.com/eventperformances.asp?evt=421
Klondike Kate's Sourdough Reunion Show	bike circus	Toronto	Ontario	CANADA	Red	Comedy	Comedy,Theatre,One Person Show,Play With Songs,Award Winning Production Company	13 and up	60	NO	NO	YES	No strobes. :-)	12	It's 1931. The Klondike gold rush is long over. But legendary Klondike Kate's reunion cabaret will sing you back to the good ole days. Is it everything you remembered?	A young Vaudevillian steps off the port of Skagway and sets her sights on the infamous Chilkoot Pass, a gruelling hike through Alaskan wilderness, to gold. Unfortunately, the Mounties aren't letting women into the Klondike, so Kate disguises herself as a man. By the time they catch her, she's already legend. It's a cabaret clash of Klondike fantasy and good ole' fashioned reality, set decades after the gold rush, asking how did we get here?	@klondikekatessourdoughreunionshow (fb.me/klondikekatessourdoughreunionshow)	@natandthebike @DonnaKaySpeaks @giantnerdprod	natandthebike, DonnaKaySpeaks, giantnerdprod	http://natandthebike.weebly.com/klondike-kates-sourdough-reunion-show.html	Friday, May 17th 6:15 PM Saturday, May 18th 7:30 PM Sunday, May 19th 3:30 PM Tuesday, May 21st 7:30 PM Friday, May 24th 6:30 PM Saturday, May 25th 12:00 PM Sunday, May 26th 6:15 PM	Student	Friday, May 17th - 6:15 PM (ALSO - note on the above discounts, as I couldn't find another place to include this info. As far as we're concerned, Fringe artists/techs/SM's/volunteers can come in for free any time there is space in the audience after paid audience members).	Tempestt 3/12		423	http://orlandofringe.showare.com/eventperformances.asp?evt=423
